params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",7.483330999999907,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",7.412233000000015,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",7.507057999999915,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",8.185754999999972,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",8.099226000000044,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",7.11262099999999,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",7.225428999999849,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",7.909209999999803,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",7.544149999999945,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",7.722586000000092,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",6.975061000000096,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",5.769943999999896,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",5.868095000000039,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",6.125029999999924,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",7.944588999999951,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",6.3767689999999675,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.920026000000007,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.537794000000076,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.505822999999964,100,0.0,0.0,0.0,0.0,0.0
